segment_id,source_id,file_name,title,recorded_at,duration,speaker,segment_start,segment_end,transcript,summary,labels,evidence,confidence,topics
6a64634911bebf52_11,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,186.0,205.0,例えば、今お送った参考情報にお送ったようなレベル感度記事を出力させたいといけなったときに、 今度考えるかさせるわけですよ。 で、CBIの局面までたから記事ルPをプロンプト、情報リスト、あげてくれました。,例えば、今お送った参考情報にお送ったようなレベル感度記事を出力させたいといけなったときに、 今度考えるかさせるわけですよ / 例えば、今お送った参考情報にお送ったようなレベル感度記事を出力させたいといけなったときに、・今度考えるかさせるわけですよ・CBI・をプロンプト、情報リスト,['その他'],False,0.5,"['例えば、今お送った参考情報にお送ったようなレベル感度記事を出力させたいといけなったときに、', '今度考えるかさせるわけですよ', 'CBI', 'をプロンプト、情報リスト、あげてくれました', 'の局面までたから記事ル']"
6a64634911bebf52_12,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,205.0,225.0,で、なんかいろいろあげてくれてますね。 はい、はい、はい。なるほど。 そうしたら、この情報を、この情報は記事ルPを作る手前でリサーチさせようと思うので、,で、なんかいろいろあげてくれてますね / で、なんかいろいろあげてくれてますね・はい、はい、はい。なるほど・そうしたら、この情報を、この情報は記事ル・チさせようと思うので、,['その他'],False,0.5,"['で、なんかいろいろあげてくれてますね', 'はい、はい、はい。なるほど', 'そうしたら、この情報を、この情報は記事ル', 'チさせようと思うので、', 'を作る手前でリサ']"
6a64634911bebf52_13,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,225.0,246.0,リサーチさせた内容はテンプデータとして送ろうと、テンプデータとして、テンプして送ろうと思っています。 その上で、それを前提に踏まえた上で、今回の記事ルPのプロンプトを作成してください。,リサーチさせた内容はテンプデータとして送ろうと、テンプデータとして、テンプして送ろうと思っています / タとして、テンプして送ろうと思っています・チさせた内容はテンプデ・タとして送ろうと、テンプデ・その上で、それを前提に踏まえた上で、今回の記事ル,['その他'],False,0.5,"['タとして、テンプして送ろうと思っています', 'チさせた内容はテンプデ', 'タとして送ろうと、テンプデ', 'その上で、それを前提に踏まえた上で、今回の記事ル', 'のプロンプトを作成してください']"
6a64634911bebf52_14,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,250.0,265.0,みたいな感じで。 まあ、本来この記事を作るときっていうのは、たぶんリサーチデータが必要になってくるので、 例えば、これとはまた別にですね、この情報をリサーチしてくれるようなプロンプトを作成して、 これをまたテンプとして投げるみたいなイメージになるわけです。,みたいな感じで / みたいな感じで・まあ、本来この記事を作るときっていうのは、たぶんリサ・ジになるわけです・タが必要になってくるので、,['その他'],False,0.5,"['みたいな感じで', 'まあ、本来この記事を作るときっていうのは、たぶんリサ', 'ジになるわけです', 'タが必要になってくるので、', '例えば、これとはまた別にですね、この情報をリサ', 'チしてくれるようなプロンプトを作成して、', 'これをまたテンプとして投げるみたいなイメ']"
6a64634911bebf52_15,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,265.0,282.0,お、出てきましたね。 そうすると、こんな感じで書いてくれました。 あ、いいですね。いろいろ分析してくれて作ってくれてます。 で、おそらくここに、そうですね。 あの、先ほどの15項目を埋めたリサーチシートを用意してあるんで、,お、出てきましたね / お、出てきましたね・そうすると、こんな感じで書いてくれました・あ、いいですね。いろいろ分析してくれて作ってくれてます・で、おそらくここに、そうですね,['その他'],False,0.5,"['お、出てきましたね', 'そうすると、こんな感じで書いてくれました', 'あ、いいですね。いろいろ分析してくれて作ってくれてます', 'で、おそらくここに、そうですね', 'あの、先ほどの', '項目を埋めたリサ', 'トを用意してあるんで、']"
6a64634911bebf52_16,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,282.0,297.0,まあ、これを例えばリサーチさせると、 これはこれでまたリサーチさせて送るみたいな感じになると思うんですけど、 そっとそれをここに貼り付けると、 いい出力が出るようみたいな感じのらしいです。,まあ、これを例えばリサーチさせると、 これはこれでまたリサーチさせて送るみたいな感じになると思うんですけど、 そっとそれをここに貼り付けると、 いい出力が出るようみたいな感じのらしいです / まあ、これを例えばリサ・いい出力が出るようみたいな感じのらしいです・チさせると、・これは,['その他'],False,0.5,"['まあ、これを例えばリサ', 'いい出力が出るようみたいな感じのらしいです', 'チさせると、', 'これはこれでまたリサ', 'チさせて送るみたいな感じになると思うんですけど、', 'そっとそれをここに貼り付けると、']"
6a64634911bebf52_17,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,297.0,313.0,ただ、これは本当に合ってるかどうかわかんないんですよね。 このプロンプトで出るのかどうかって。 よし、これでプロンプト作れました。 終了だではなくて、これが本当に合ってるかどうかわからないっていう話なんで、 じゃあこのプロンプトが本当に出力されんのっていうところをちょっと調べていきたくて、,ただ、これは本当に合ってるかどうかわかんないんですよね / ただ、これは本当に合ってるかどうかわかんないんですよね・このプロンプトで出るのかどうかって・よし、これでプロンプト作れました・終了だではなくて、これが本当に合ってるかどうかわからないっていう話なんで、,['その他'],False,0.5,"['ただ、これは本当に合ってるかどうかわかんないんですよね', 'このプロンプトで出るのかどうかって', 'よし、これでプロンプト作れました', '終了だではなくて、これが本当に合ってるかどうかわからないっていう話なんで、', 'じゃあこのプロンプトが本当に出力されんのっていうところをちょっと調べていきたくて、']"
6a64634911bebf52_18,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,313.0,329.0,ちょっと一旦今の必要情報に関してだけ、 調べさせましょうか。 入りたいので、,ちょっと一旦今の必要情報に関してだけ、 調べさせましょうか / 入りたいので、・ちょっと一旦今の必要情報に関してだけ、・調べさせましょうか,['その他'],False,0.5,"['入りたいので、', 'ちょっと一旦今の必要情報に関してだけ、', '調べさせましょうか']"
6a64634911bebf52_19,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,329.0,345.0,他の情報を調べて、 ちょっと一旦ここが適当にやります。 で、これをもう一個作ったチャットにですね、,他の情報を調べて、 ちょっと一旦ここが適当にやります / で、これをもう一個作ったチャットにですね、・他の情報を調べて、・ちょっと一旦ここが適当にやります,['その他'],False,0.5,"['で、これをもう一個作ったチャットにですね、', '他の情報を調べて、', 'ちょっと一旦ここが適当にやります']"
6a64634911bebf52_20,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,345.0,360.0,これ投げるわけですよ。 で、今回ちょっと大すり使っちゃってるんで、 ちょっとこれそもそも大すりで出力すること自体が微妙なんですけど、 そうですね。 まあGPT系列であれば,これ投げるわけですよ / これ投げるわけですよ・で、今回ちょっと大すり使っちゃってるんで、・そうですね・GPT,['その他'],False,0.5,"['これ投げるわけですよ', 'で、今回ちょっと大すり使っちゃってるんで、', 'そうですね', 'GPT', '系列であれば', 'ちょっとこれそもそも大すりで出力すること自体が微妙なんですけど、']"
6a64634911bebf52_21,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,361.0,382.0,4.5とか 4.0とかがいいかなと思いますが、 僕はこういうときはジェミニを使うんで、 ジェミニに出力させてみましょうか。 で、ここにそろそろ上がってくるかな。,4.5とか 4.0とかがいいかなと思いますが、 僕はこういうときはジェミニを使うんで、 ジェミニに出力させてみましょうか / とかがいいかなと思いますが、・ジェミニに出力させてみましょうか・で、ここにそろそろ上がってくるかな・僕はこういうときはジェミニを使うんで、,['その他'],False,0.5,"['とかがいいかなと思いますが、', 'ジェミニに出力させてみましょうか', 'で、ここにそろそろ上がってくるかな', '僕はこういうときはジェミニを使うんで、']"
6a64634911bebf52_22,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,382.0,397.0,これを出てくる情報が出てくると思うんで、 これを貼り付けてちゃんと出力でるのかなみたいなのを見ますと。,これを出てくる情報が出てくると思うんで、 これを貼り付けてちゃんと出力でるのかなみたいなのを見ますと / これを出てくる情報が出てくると思うんで、・これを貼り付けてちゃんと出力でるのかなみたいなのを見ますと,['その他'],False,0.5,"['これを出てくる情報が出てくると思うんで、', 'これを貼り付けてちゃんと出力でるのかなみたいなのを見ますと']"
6a64634911bebf52_23,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,398.0,416.0,まあ一旦これでいいとして、 まあこれ本当はなので、 リサーチューのプロンプトーソースも設計すぶるべきっていう話ではあるんですけど、,まあ一旦これでいいとして、 まあこれ本当はなので、 リサーチューのプロンプトーソースも設計すぶるべきっていう話ではあるんですけど、 / まあ一旦これでいいとして、・スも設計すぶるべきっていう話ではあるんですけど、・まあこれ本当はなので、・のプロンプト,['その他'],False,0.5,"['まあ一旦これでいいとして、', 'スも設計すぶるべきっていう話ではあるんですけど、', 'まあこれ本当はなので、', 'のプロンプト']"
6a64634911bebf52_24,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,416.0,440.0,一旦この内容があっているとか決してやっていきます。 で、ここに貼りますと、 そんで出力させましょう。 で、この出力結果を見て、,一旦この内容があっているとか決してやっていきます / 一旦この内容があっているとか決してやっていきます・で、この出力結果を見て、・で、ここに貼りますと、・そんで出力させましょう,['その他'],False,0.5,"['一旦この内容があっているとか決してやっていきます', 'で、この出力結果を見て、', 'で、ここに貼りますと、', 'そんで出力させましょう']"
6a64634911bebf52_25,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,440.0,456.0,まあこれ要は答えが決まってないときのケースだと思うんですけど、 自分しか答えがわからないよっていうケースだと思うんですけど、 この出力結果を見て、 あっこれ問題ないなって思うの、 このレベル間であれば問題ないなと思うのだったら、 それでもう完成みたいな話なんですけど、,まあこれ要は答えが決まってないときのケースだと思うんですけど、 自分しか答えがわからないよっていうケースだと思うんですけど、 この出力結果を見て、 あっこれ問題ないなって思うの、 このレベル間であれば問題ないなと思うのだったら、 それでもう完成みたいな話なんですけど、 / スだと,['その他'],False,0.5,"['スだと思うんですけど、', 'まあこれ要は答えが決まってないときのケ', 'それでもう完成みたいな話なんですけど、', '自分しか答えがわからないよっていうケ', 'この出力結果を見て、', 'あっこれ問題ないなって思うの、', 'このレベル間であれば問題ないなと思うのだったら、']"
6a64634911bebf52_26,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,456.0,476.0,まあなかなかそんな簡単に一発で仕上がらないと思うんですよね。 仕上がらないと思ってて、 そういう場合どうやって検証してるのって話なんですけど、 あってましたね。 あ、でもなんか結構いい感じなんですけどね。,まあなかなかそんな簡単に一発で仕上がらないと思うんですよね / まあなかなかそんな簡単に一発で仕上がらないと思うんですよね・あ、でもなんか結構いい感じなんですけどね・仕上がらないと思ってて、・あってましたね,['その他'],False,0.5,"['まあなかなかそんな簡単に一発で仕上がらないと思うんですよね', 'あ、でもなんか結構いい感じなんですけどね', '仕上がらないと思ってて、', 'あってましたね', 'そういう場合どうやって検証してるのって話なんですけど、']"
6a64634911bebf52_27,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,478.0,495.0,そう、CTUまで。 でもなんかちょっとこの辺が構造化されてて、 ごちゃごちゃしてて、 読みにくい予感がしますね。 ICLはたし算の発想とかもちょっとよくわからないですもんね。,そう、CTUまで / CTU・そう、・ICL・でもなんかちょっとこの辺が構造化されてて、,['その他'],False,0.5,"['CTU', 'そう、', 'ICL', 'でもなんかちょっとこの辺が構造化されてて、', '読みにくい予感がしますね', 'はたし算の発想とかもちょっとよくわからないですもんね', 'ごちゃごちゃしてて、']"
6a64634911bebf52_28,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,500.0,517.0,まあとにかくこんな感じで今出力してくれましたと。 で、 もう少しで全部出ると思います。 まあ結構いい感じではあると思うんですけど、,まあとにかくこんな感じで今出力してくれましたと / まあとにかくこんな感じで今出力してくれましたと・まあ結構いい感じではあると思うんですけど、・もう少しで全部出ると思います,['その他'],False,0.5,"['まあとにかくこんな感じで今出力してくれましたと', 'まあ結構いい感じではあると思うんですけど、', 'もう少しで全部出ると思います']"
6a64634911bebf52_29,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,517.0,532.0,まあなんかもう少し何とかしたいよねみたいな ケースがあると思います。 入れました。 で、 これをコピーして、 最初のこのプロモピーで、 これをコピーして、,まあなんかもう少し何とかしたいよねみたいな ケースがあると思います / まあなんかもう少し何とかしたいよねみたいな・スがあると思います・これをコピ・して、,['その他'],False,0.5,"['まあなんかもう少し何とかしたいよねみたいな', 'スがあると思います', 'これをコピ', 'して、', '入れました', '最初のこのプロモピ']"
6a64634911bebf52_30,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,532.0,549.0,これをコピーして、 これをコピーして、 これをコピーして、 これをコピーして、 最初のこのプロモピーと作ったところに持っていきます。 ありがとうございます。 ありがとうございます。 こちらのプロモピーを使って、,これをコピーして、 これをコピーして、 これをコピーして、 これをコピーして、 最初のこのプロモピーと作ったところに持っていきます / これをコピ・して、・ありがとうございます・と作ったところに持っていきます,['その他'],False,0.5,"['これをコピ', 'して、', 'ありがとうございます', 'と作ったところに持っていきます', '最初のこのプロモピ', 'こちらのプロモピ', 'を使って、']"
6a64634911bebf52_31,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,549.0,565.0,記事を出力してみました。 リサーチ結果もちゃんとテンプした上で、 記事を出力してみたんですが、 ちょっとユーザーにとってわかりやすい、 わかりにくい言葉、 わかりにくい言葉が使われています。,記事を出力してみました / 記事を出力してみました・わかりにくい言葉が使われています・チ結果もちゃんとテンプした上で、・記事を出力してみたんですが、,['その他'],False,0.5,"['記事を出力してみました', 'わかりにくい言葉が使われています', 'チ結果もちゃんとテンプした上で、', '記事を出力してみたんですが、', 'ちょっとユ', 'にとってわかりやすい、', 'わかりにくい言葉、']"
6a64634911bebf52_32,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,567.0,582.0,なので、その点を踏まえて、 もう一度、 プロンプトーの調整を行ってほしいです。 こんな感じで、 このタイミングで、 ここで何が嫌だよっていうのを,なので、その点を踏まえて、 もう一度、 プロンプトーの調整を行ってほしいです / なので、その点を踏まえて、・の調整を行ってほしいです・もう一度、・プロンプト,['その他'],False,0.5,"['なので、その点を踏まえて、', 'の調整を行ってほしいです', 'もう一度、', 'プロンプト', 'こんな感じで、', 'ここで何が嫌だよっていうのを', 'このタイミングで、']"
6a64634911bebf52_33,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,582.0,597.0,伝えてあげるといいです。 できる限り具体的に伝えてあげれると 一番いいんですけど、 ちょっと今、かなりぼやけた、 わかりにくい言葉っていう風に 使ってるんですけど、 例えば、 ここのこういうところが嫌ですとか、 そういう指定もありですね。 この時に、,伝えてあげるといいです / 伝えてあげるといいです・この時に、・できる限り具体的に伝えてあげれると・そういう指定もありですね,['その他'],False,0.5,"['伝えてあげるといいです', 'この時に、', 'できる限り具体的に伝えてあげれると', 'そういう指定もありですね', '一番いいんですけど、', 'ちょっと今、かなりぼやけた、', 'わかりにくい言葉っていう風に', '使ってるんですけど、']"
6a64634911bebf52_34,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,599.0,615.0,まず、以下に 出力された記事の内容を 全部貼り付けます。 そして、その後に、 もう一度、,まず、以下に 出力された記事の内容を 全部貼り付けます / まず、以下に・全部貼り付けます・出力された記事の内容を・そして、その後に、,['その他'],False,0.5,"['まず、以下に', '全部貼り付けます', '出力された記事の内容を', 'そして、その後に、', 'もう一度、']"
6a64634911bebf52_35,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,624.0,640.0,一番最初に参考にしてほしかった記事を貼り付けますので、 これらを比較して、 見比べた上で、 わかりにくい言葉が使われているなと思う要素を しっかり考えた上で、 これらが解消されるようなプロンプトーに,一番最初に参考にしてほしかった記事を貼り付けますので、 これらを比較して、 見比べた上で、 わかりにくい言葉が使われているなと思う要素を しっかり考えた上で、 これらが解消されるようなプロンプトーに / 一番最初に参考にしてほしかった記事を貼り付けますので、・これらを比較して、・,['その他'],False,0.5,"['一番最初に参考にしてほしかった記事を貼り付けますので、', 'これらを比較して、', '見比べた上で、', 'わかりにくい言葉が使われているなと思う要素を', 'しっかり考えた上で、', 'これらが解消されるようなプロンプト']"
6a64634911bebf52_36,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,640.0,657.0,最終出力してください。 以下は出力された記事です。,最終出力してください / 最終出力してください・以下は出力された記事です,['その他'],False,0.5,"['最終出力してください', '以下は出力された記事です']"
6a64634911bebf52_37,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,661.0,678.0,以下は 参考にしてほしい記事です。 で、 もう一回この 最初のですね、 記事を貼っておくと。 で、もう一回考えさせます。,以下は 参考にしてほしい記事です / 以下は・参考にしてほしい記事です・で、もう一回考えさせます・記事を貼っておくと,['その他'],False,0.5,"['以下は', '参考にしてほしい記事です', 'で、もう一回考えさせます', '記事を貼っておくと', 'もう一回この', '最初のですね、']"
6a64634911bebf52_38,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,679.0,695.0,こんな感じでですね、 あの、 このプロンプトーを作成するチャットと、 出力結果を出すチャットを ずっとこう、 まあ行ったり来たりして、 で、 こう、まあ、 これが、こういうところがよくないよう みたいな感じの フィードバックをしっかり出した上で、,こんな感じでですね、 あの、 このプロンプトーを作成するチャットと、 出力結果を出すチャットを ずっとこう、 まあ行ったり来たりして、 で、 こう、まあ、 これが、こういうところがよくないよう みたいな感じの フィードバックをしっかり出した上で、 / こんな感じでですね、・ドバッ,['その他'],False,0.5,"['こんな感じでですね、', 'ドバックをしっかり出した上で、', 'あの、', 'このプロンプト', 'を作成するチャットと、', '出力結果を出すチャットを', 'ずっとこう、', 'まあ行ったり来たりして、']"
6a64634911bebf52_39,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,696.0,711.0,こう、プロンプトーの調整を行っていく っていう感じです。 そうすると出てきましたね。 以下が読めやすさ、 最優先に開催した記事ルP生成プロンプトーです。 小学生、高学年、中学年、 小学生、小学生、小学生、小学生、 小学生、高学年、中学年、,こう、プロンプトーの調整を行っていく っていう感じです / こう、プロンプト・っていう感じです・の調整を行っていく・そうすると出てきましたね,['その他'],False,0.5,"['こう、プロンプト', 'っていう感じです', 'の調整を行っていく', 'そうすると出てきましたね', '小学生、高学年、中学年、', '以下が読めやすさ、', '最優先に開催した記事ル', '生成プロンプト']"
6a64634911bebf52_40,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,711.0,729.0,あ、いいですね。 こういうポイントを追加しました。 って言ってますね。 で、お、かなり 細かく 追加されております。 そしたらもう一度、 じゃあ、新しいチャットを出して、,あ、いいですね / あ、いいですね・こういうポイントを追加しました・って言ってますね・で、お、かなり,['ノウハウ'],False,0.7,"['あ、いいですね', 'こういうポイントを追加しました', 'って言ってますね', 'で、お、かなり', '追加されております', 'そしたらもう一度、', 'じゃあ、新しいチャットを出して、', '細かく']"
6a64634911bebf52_41,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,730.0,746.0,これですね。 ここに、またリサーチ情報を 載せると、 これですね。 で、やっていきます。 こんな感じで、 ひたすらこれの往復をしていって、 プロンプトーの調整も,これですね / これですね・で、やっていきます・ここに、またリサ・チ情報を,['その他'],False,0.5,"['これですね', 'で、やっていきます', 'ここに、またリサ', 'チ情報を', '載せると、', 'こんな感じで、', 'の調整も', 'ひたすらこれの往復をしていって、']"
6a64634911bebf52_42,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,747.0,762.0,このAIにしっかりやらせるっていう この流れですね。 この流れを何度も何度もやっていって、 最終的に自分の判断で これだったらいいじゃんみたいな感じのレベル 感になるようなプロンプトーを作っていく っていうイメージです。 基本的に,このAIにしっかりやらせるっていう この流れですね / この流れですね・にしっかりやらせるっていう・基本的に・この流れを何度も何度もやっていって、,['その他'],False,0.5,"['この流れですね', 'にしっかりやらせるっていう', '基本的に', 'この流れを何度も何度もやっていって、', 'ジです', '最終的に自分の判断で', 'これだったらいいじゃんみたいな感じのレベル', '感になるようなプロンプト']"
6a64634911bebf52_43,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,762.0,778.0,参考にできる 過去のこういった情報、 記事だったら記事みたいなのだったりとか 他にも何でしょう。 分析結果だったら分析結果とか 何でもいいんですけど、 とにかく過去に自分がやったことあるものっていうのは 結構プロンプトーがしやすいです。 こういった情報を参考にさせて,参考にできる 過去のこういった情報、 記事だったら記事みたいなのだったりとか 他にも何でしょう / 参考にできる・他にも何でしょう・過去のこういった情報、・記事だったら記事みたいなのだったりとか,['その他'],False,0.5,"['参考にできる', '他にも何でしょう', '過去のこういった情報、', '記事だったら記事みたいなのだったりとか', 'こういった情報を参考にさせて', '分析結果だったら分析結果とか', 'がしやすいです', '何でもいいんですけど、']"
